ID,NAME,EMAIL,PHONE,REGISTRATION
1,Alice Johnson,alice.johnson@email.com,07421 765298,RX53 YMJ
2,Bob Smith,bob.smith@email.com,07388 654812,AB16 CDE
3,Charlie Lee,charlie.lee@email.com,07912 618290,FG18 HIJ
4,Diana Prince,diana.prince@email.com,07123 482910,KL15 MNO
5,Ethan Brown,ethan.brown@email.com,07912 784389,PQ56 RST
6,Fiona Green,fiona.green@email.com,07463 789123,UV70 WXY
7,George White,george.white@email.com,07654 459329,ZA14 BCD
8,Hannah Black,hannah.black@email.com,07538 901001,CV16 DEF
9,Ian Silver,ian.silver@email.com,07632 333922,HY18 JKL
10,Julia Blue,julia.blue@email.com,07485 992210,KX17 MNO
11,Kevin Red,kevin.red@email.com,07480 763354,ZA14 BCD
12,Laura Gold,laura.gold@email.com,07645 340090,CV16 DEF
